Student_ID,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement
39,Female,CE,8.72,80.3,76.8,0,2.8,60.5,8,4,5,2,5,3,4,6.1,8,No,Medium,Tier 3,Yes,None
40,Male,IT,7.24,65.4,72.7,0,5.1,73.5,4,2,2,2,4,3,2,7.0,2,No,Low,Tier 2,Yes,None
41,Male,CE,9.06,97.4,81.1,0,4.7,77.4,7,3,5,3,4,5,4,6.7,1,No,High,Tier 2,Yes,Low
42,Male,ME,8.28,78.1,62.8,1,6.2,79.2,2,2,2,2,4,4,4,6.0,2,No,Low,Tier 1,Yes,None
43,Male,CSE,7.68,66.4,65.6,1,5.1,71.3,8,2,5,3,4,6,3,5.6,6,No,Low,Tier 1,Yes,Medium
44,Female,ME,9.32,82.4,89.1,0,5.7,75.5,5,3,3,1,5,1,1,6.9,2,Yes,Medium,Tier 2,Yes,Low
45,Male,ME,8.68,82.6,72.6,0,2.4,71.5,7,3,4,4,4,4,1,6.5,10,Yes,Medium,Tier 3,Yes,Low
46,Female,ME,9.68,90.2,84.5,0,5.0,73.5,5,3,5,5,5,3,2,5.6,4,Yes,Medium,Tier 2,Yes,Medium
47,Male,ECE,9.03,80.0,84.2,0,4.5,70.8,8,2,4,3,4,5,1,8.0,6,Yes,Low,Tier 1,Yes,None
48,Male,ECE,7.66,74.0,70.4,0,0.1,62.3,4,1,3,3,3,2,3,9.0,8,No,Low,Tier 2,Yes,Medium
49,Male,ECE,6.77,55.7,54.3,1,3.9,71.4,8,2,5,5,3,6,1,8.2,9,No,Medium,Tier 2,Yes,Medium
50,Male,ECE,8.7,82.8,69.5,0,2.0,71.1,7,2,5,1,4,6,1,6.1,9,No,High,Tier 2,No,High
51,Female,CSE,8.02,69.9,68.8,0,1.0,60.3,3,2,3,1,3,2,4,6.9,8,No,High,Tier 3,Yes,Low
52,Female,IT,7.43,70.2,68.1,0,3.4,72.2,6,1,4,4,3,5,3,8.8,6,No,Medium,Tier 3,Yes,High
53,Female,CSE,8.2,82.9,75.2,0,2.7,61.9,6,3,3,2,4,3,3,5.6,8,No,High,Tier 1,Yes,Medium
54,Female,CSE,6.56,50.0,65.3,1,2.5,68.2,6,1,4,4,3,6,1,7.9,9,No,Medium,Tier 3,Yes,High
55,Male,ECE,9.28,81.8,74.0,0,1.1,70.4,7,3,5,5,5,4,8,5.3,4,No,Medium,Tier 2,Yes,None
56,Female,ME,8.29,63.7,77.0,0,7.6,71.9,8,2,5,2,3,6,4,9.0,4,Yes,Medium,Tier 3,No,Medium
57,Male,ECE,6.85,64.8,59.1,0,1.5,66.7,8,1,5,2,3,6,5,6.5,6,No,Medium,Tier 1,Yes,High
58,Male,CSE,9.53,91.6,85.0,0,3.3,68.1,7,3,5,5,5,4,3,9.0,8,No,Medium,Tier 2,Yes,None
59,Male,ME,6.89,58.7,65.0,0,5.4,76.0,7,4,5,3,3,6,3,9.0,7,No,Medium,Tier 1,No,Medium
60,Male,ECE,8.47,78.4,83.4,0,6.0,76.2,3,2,2,4,5,1,1,6.9,9,Yes,Medium,Tier 2,Yes,High
61,Male,IT,8.11,74.6,72.8,0,1.8,65.6,7,4,4,5,4,5,2,6.1,6,Yes,Low,Tier 1,Yes,Medium
62,Male,IT,6.84,63.3,62.1,0,3.6,73.3,1,2,2,5,3,1,2,7.2,9,No,Low,Tier 1,Yes,None
63,Female,ECE,8.1,76.2,75.9,0,5.1,68.5,6,2,4,4,4,4,3,6.8,6,No,Medium,Tier 1,Yes,Medium
64,Male,ECE,6.32,59.6,58.1,0,4.6,76.6,2,1,1,5,2,1,2,6.5,10,No,Low,Tier 1,Yes,None
65,Male,CE,7.64,66.5,72.4,0,4.8,82.4,5,3,3,3,4,5,2,5.0,4,No,Low,Tier 1,No,High
66,Male,CSE,6.09,53.0,65.5,0,1.6,63.6,5,1,3,4,2,3,4,6.4,6,No,Medium,Tier 2,Yes,None
67,Male,ECE,8.92,72.8,95.3,0,2.3,64.0,6,4,4,5,4,2,4,5.7,6,No,Medium,Tier 1,Yes,None
68,Female,ECE,7.76,59.2,69.6,0,3.7,70.1,5,2,4,2,4,4,2,7.7,5,No,Medium,Tier 2,Yes,Low
69,Male,IT,7.16,64.3,73.9,1,3.4,71.5,6,0,4,4,3,3,2,8.2,5,No,Medium,Tier 1,Yes,Medium
70,Female,CSE,8.9,88.6,78.2,1,4.3,69.1,8,2,5,5,5,6,4,7.9,1,No,High,Tier 3,Yes,High
71,Female,ME,6.1,50.0,51.2,0,1.9,68.6,1,0,1,3,4,1,2,7.4,10,No,High,Tier 3,Yes,None
72,Male,CE,7.86,67.8,60.2,1,6.0,87.8,5,2,4,2,4,3,2,6.0,6,Yes,High,Tier 1,Yes,None
73,Male,ECE,8.53,77.1,77.8,0,1.6,73.2,7,4,5,3,4,5,3,7.2,10,No,Medium,Tier 2,Yes,Low
74,Female,CSE,6.92,60.6,61.1,0,4.5,78.3,4,2,2,5,3,4,3,8.0,9,No,Medium,Tier 1,Yes,High
75,Female,IT,7.69,69.1,69.6,0,2.4,71.9,4,2,3,2,4,5,8,6.3,8,No,High,Tier 3,Yes,Low
76,Female,ECE,7.34,67.8,66.7,1,3.5,76.4,3,3,1,4,4,2,1,7.1,8,No,Low,Tier 2,Yes,Low
77,Female,ME,5.97,54.8,54.3,1,1.1,63.4,2,0,1,2,2,0,1,6.8,3,No,Low,Tier 1,Yes,Medium
78,Male,CSE,7.09,59.0,64.8,0,3.7,64.0,3,0,2,3,5,2,3,9.0,9,No,Medium,Tier 2,Yes,Low
79,Male,ECE,7.74,64.4,59.3,2,5.3,80.8,1,3,2,1,5,1,3,8.0,9,No,Low,Tier 1,Yes,Low
80,Male,ECE,8.8,80.3,73.5,0,6.5,72.1,8,3,5,5,5,6,0,7.7,10,No,High,Tier 2,Yes,Low
81,Female,CSE,9.44,78.2,85.8,0,3.8,68.6,5,3,5,1,4,4,4,4.9,9,No,Medium,Tier 2,Yes,High
82,Female,CSE,7.98,77.2,64.3,0,1.6,67.5,1,2,2,5,4,3,1,7.2,6,No,Medium,Tier 2,Yes,High
83,Male,IT,8.54,78.3,79.7,0,5.6,72.5,5,3,4,1,4,3,2,6.8,9,No,Medium,Tier 2,Yes,Medium
84,Male,CSE,9.2,88.4,80.4,0,4.7,83.8,8,1,5,2,5,5,3,6.8,6,No,Medium,Tier 1,Yes,Low
85,Male,CSE,8.68,80.7,76.6,1,3.7,69.0,8,3,5,2,4,5,1,5.1,5,No,Low,Tier 1,Yes,Medium
86,Male,ECE,7.35,65.8,67.5,2,2.9,62.5,6,1,4,4,3,4,3,5.7,8,No,Medium,Tier 1,Yes,None
87,Female,CE,7.94,76.5,75.7,1,3.8,72.9,8,4,5,2,4,6,4,6.9,2,No,Medium,Tier 3,Yes,Medium
88,Female,CSE,9.2,82.7,85.6,0,4.1,68.6,8,0,5,2,5,5,3,8.3,2,No,Medium,Tier 1,Yes,Medium
89,Female,ME,9.0,79.0,80.0,0,5.6,74.7,1,2,2,1,4,2,2,6.3,7,No,Medium,Tier 2,Yes,High
90,Male,CSE,8.17,65.3,75.8,0,2.3,69.6,6,1,4,5,4,4,0,6.5,8,No,Low,Tier 2,Yes,Low
91,Male,CSE,7.56,67.3,64.7,1,2.6,71.7,7,2,5,2,4,5,6,9.0,7,No,Low,Tier 1,Yes,Medium
92,Female,CSE,9.93,85.4,81.8,0,3.5,73.3,7,3,5,2,5,6,3,6.6,5,No,Low,Tier 2,Yes,Medium
93,Female,IT,7.23,61.4,57.2,0,1.3,63.4,8,1,5,3,4,3,3,6.8,4,No,Medium,Tier 2,Yes,Low
94,Male,CSE,8.35,72.6,74.1,0,5.4,69.3,4,3,3,1,4,4,3,6.9,8,No,High,Tier 2,Yes,Medium
95,Female,CSE,9.66,89.5,88.2,0,5.2,78.2,7,4,5,2,5,4,1,5.4,10,No,High,Tier 2,Yes,High
96,Male,ECE,8.55,71.8,73.7,2,4.6,74.3,8,2,5,2,5,4,3,7.7,7,No,Medium,Tier 2,Yes,High
97,Male,IT,9.22,76.4,78.5,0,8.8,87.0,5,1,4,4,4,3,3,6.2,1,No,Medium,Tier 2,Yes,Medium
98,Male,CSE,8.95,71.6,77.4,0,5.4,73.0,8,1,5,3,5,6,3,7.0,4,No,Medium,Tier 2,Yes,None
99,Male,ECE,7.84,72.7,67.5,1,6.7,81.3,2,1,1,5,4,2,2,7.5,4,No,Low,Tier 2,No,High
100,Male,CSE,8.17,76.9,69.0,1,4.1,69.4,5,0,4,1,3,2,2,9.0,10,No,Low,Tier 1,Yes,Medium
101,Male,ECE,8.44,73.3,77.3,1,2.9,70.0,3,3,1,5,5,1,4,5.4,6,Yes,High,Tier 2,No,Low
102,Female,ME,9.0,78.6,81.3,0,1.1,54.4,4,3,2,2,4,2,2,8.0,4,No,Medium,Tier 1,Yes,None
103,Male,ME,9.94,93.8,100.0,0,4.6,81.7,7,3,4,4,5,4,2,8.0,9,No,High,Tier 1,Yes,None
104,Male,ECE,7.93,70.6,69.6,0,5.1,76.3,4,3,3,3,4,1,3,6.2,2,Yes,Medium,Tier 2,Yes,None
105,Female,ECE,10.0,91.9,87.7,0,5.9,75.7,8,4,5,1,5,5,1,7.7,2,No,Medium,Tier 3,Yes,Medium
106,Male,CSE,8.85,80.8,84.3,0,3.0,67.2,6,3,5,3,5,6,3,9.0,7,No,Low,Tier 3,Yes,Low
107,Male,ECE,9.38,79.4,83.1,0,5.3,82.4,4,4,2,3,4,2,1,6.1,10,Yes,Low,Tier 1,Yes,None
108,Female,CSE,6.59,61.4,52.9,0,1.4,59.2,5,1,4,3,3,4,3,7.3,7,No,Medium,Tier 2,Yes,Low
109,Male,CE,7.9,71.9,75.1,0,4.2,69.7,6,3,5,5,4,4,3,7.5,1,No,Medium,Tier 2,Yes,Low
110,Male,IT,8.68,75.3,76.1,0,5.1,69.5,6,3,4,3,5,4,3,7.6,8,Yes,Low,Tier 1,Yes,None
111,Male,IT,8.9,78.4,86.6,0,5.3,76.6,7,0,5,2,5,6,2,7.9,6,No,Low,Tier 3,No,None
112,Male,IT,8.42,68.9,80.4,0,5.6,79.6,3,2,2,2,4,2,3,7.2,1,No,Low,Tier 3,Yes,None
113,Female,ME,8.42,79.8,86.9,1,5.1,76.4,5,2,3,2,4,4,7,7.6,1,No,Medium,Tier 3,Yes,Medium
114,Female,CE,7.36,67.2,63.4,0,4.2,75.0,3,1,2,4,3,1,1,5.9,4,No,Medium,Tier 1,Yes,None
115,Female,CSE,8.18,74.3,73.6,0,6.5,84.8,8,3,5,4,4,5,3,7.2,7,Yes,Low,Tier 1,Yes,Medium
116,Female,ME,8.02,72.6,68.3,0,3.9,71.0,6,1,4,3,4,4,2,6.4,4,No,Low,Tier 3,Yes,None
117,Female,ECE,7.85,72.6,68.6,0,4.0,67.6,6,1,4,1,4,4,3,5.5,7,Yes,Low,Tier 2,Yes,None
118,Male,ECE,7.9,63.6,70.3,0,7.2,77.0,0,2,1,4,4,3,2,6.4,6,No,Medium,Tier 3,Yes,Low
119,Female,CE,9.54,99.6,75.3,0,0.0,56.1,7,4,5,5,5,5,0,7.3,9,No,Low,Tier 1,Yes,None
120,Male,CSE,9.83,92.1,91.8,0,5.2,81.4,3,3,3,2,5,4,4,7.5,1,No,Medium,Tier 2,Yes,None
121,Female,ECE,9.22,84.8,84.9,0,5.2,79.3,2,3,2,3,4,1,3,5.5,4,No,Low,Tier 2,Yes,Low
122,Female,IT,8.72,87.7,91.4,2,3.2,57.2,7,2,5,5,4,6,2,5.9,10,No,Low,Tier 1,No,Low
123,Male,CSE,8.47,78.0,77.8,0,4.0,73.3,8,4,5,5,4,5,3,7.9,8,No,High,Tier 2,No,Medium
124,Male,ECE,10.0,99.6,81.3,0,4.0,74.5,7,4,4,1,5,5,3,7.6,6,No,Medium,Tier 2,Yes,None
125,Male,IT,7.54,78.5,71.3,0,3.6,67.2,4,3,3,2,4,3,3,8.1,6,No,Low,Tier 1,Yes,High
126,Male,ME,6.03,61.1,53.3,0,3.9,69.7,3,4,1,2,3,0,2,8.6,8,No,High,Tier 1,Yes,High
127,Female,ECE,7.81,70.3,68.2,0,4.8,69.5,2,3,1,4,4,2,1,7.6,2,No,Medium,Tier 2,Yes,Medium
128,Female,CSE,6.47,57.9,57.7,0,2.8,62.2,7,0,5,4,2,4,5,6.5,2,No,High,Tier 2,Yes,Low
129,Male,ECE,7.37,64.5,71.6,2,4.0,69.4,3,1,1,5,4,1,1,7.1,1,No,Medium,Tier 3,Yes,High
130,Male,IT,7.38,70.5,68.2,0,1.3,72.0,3,1,2,5,4,1,4,9.0,7,Yes,Medium,Tier 2,Yes,None
131,Male,ME,8.13,68.0,84.7,0,2.8,65.0,4,1,3,5,5,1,3,9.0,6,No,High,Tier 1,Yes,None
132,Male,ECE,9.12,81.3,79.5,0,1.8,64.2,2,2,2,2,4,2,2,7.6,6,No,Low,Tier 3,Yes,None
133,Male,CSE,10.0,79.1,92.0,0,4.3,68.4,6,3,4,5,5,6,3,7.6,2,No,Medium,Tier 3,Yes,High
134,Male,CSE,8.33,69.8,75.7,1,1.9,56.0,4,3,3,2,4,2,1,7.9,7,No,Medium,Tier 1,Yes,Low
135,Female,IT,6.81,61.8,55.7,0,1.2,62.7,5,2,4,4,4,3,3,7.0,4,Yes,Low,Tier 3,Yes,High
136,Male,ECE,7.69,72.1,65.3,0,1.2,68.3,6,2,5,1,4,5,7,8.4,2,Yes,Low,Tier 1,Yes,Low
137,Male,ME,8.05,77.5,76.7,2,1.9,67.7,5,4,3,4,4,3,3,8.2,1,No,Low,Tier 1,Yes,High
138,Female,CSE,8.11,73.4,71.5,0,6.1,75.7,4,1,3,2,4,2,2,7.4,9,No,Medium,Tier 1,Yes,High
139,Male,ME,7.6,65.6,71.5,0,7.1,83.9,6,0,3,2,4,2,4,6.6,3,No,Medium,Tier 1,Yes,High
140,Female,IT,9.24,80.2,82.9,0,3.3,67.9,8,1,5,4,4,5,2,5.2,10,No,Medium,Tier 3,Yes,Low
141,Female,ME,6.2,52.5,52.0,0,1.0,56.3,7,0,4,4,3,3,2,7.9,10,Yes,Low,Tier 3,Yes,High
142,Male,CSE,7.69,79.4,65.7,0,3.4,59.4,8,2,5,2,4,6,0,7.3,7,No,Medium,Tier 3,Yes,High
143,Male,ME,9.06,79.4,75.7,0,6.8,79.3,6,4,4,3,5,3,2,6.1,2,No,High,Tier 3,Yes,Low
144,Male,CE,8.63,79.6,82.7,0,4.5,85.1,3,2,2,4,4,2,1,5.6,4,No,Medium,Tier 2,Yes,Low
145,Male,ECE,7.6,67.2,66.8,2,1.1,57.4,6,1,3,5,5,2,1,7.8,5,Yes,Medium,Tier 2,Yes,Medium
146,Male,IT,9.15,85.3,77.6,0,7.6,79.0,8,2,5,4,4,5,8,5.1,5,Yes,Medium,Tier 3,Yes,Low
147,Female,ME,6.85,56.8,58.7,0,3.3,74.4,4,2,3,1,4,2,4,7.4,5,No,Medium,Tier 3,No,Medium
148,Male,IT,7.93,68.7,63.6,1,2.9,63.5,4,1,3,2,4,4,2,8.0,10,No,Medium,Tier 3,Yes,None
149,Male,ME,7.33,68.2,68.3,0,6.3,79.7,8,1,5,1,4,5,3,7.7,8,Yes,High,Tier 3,Yes,Medium
150,Male,CSE,7.69,65.9,71.2,0,4.6,69.0,3,1,3,1,4,3,2,6.5,3,Yes,Medium,Tier 1,Yes,None
151,Female,ECE,9.44,88.3,88.8,0,6.6,72.2,7,1,5,3,5,5,5,5.5,10,No,High,Tier 3,Yes,Low
152,Male,CSE,8.36,77.9,73.0,0,3.7,64.9,7,1,5,4,4,4,3,7.7,1,No,Low,Tier 3,Yes,Low
153,Male,IT,8.42,75.8,72.7,0,3.9,71.8,3,2,3,5,4,5,2,8.4,2,No,Low,Tier 3,Yes,High
154,Male,CE,7.62,67.5,69.2,0,3.0,78.2,5,2,3,4,3,4,1,6.3,7,No,Low,Tier 1,Yes,None
155,Female,ME,7.8,69.3,69.3,0,4.3,72.1,8,4,5,2,4,4,4,7.6,5,No,Medium,Tier 2,Yes,High
156,Male,ECE,8.7,82.4,72.4,0,3.9,76.2,3,3,2,4,4,1,0,8.9,1,No,Medium,Tier 2,Yes,Medium
157,Female,CSE,10.0,92.6,96.4,0,2.6,63.6,4,2,4,3,5,4,6,7.4,4,No,Low,Tier 1,Yes,Low
158,Female,CE,6.3,64.6,54.4,0,0.6,61.7,2,2,2,5,3,1,2,6.5,8,No,Low,Tier 2,Yes,Low
159,Male,ECE,7.63,62.4,76.0,1,5.0,68.3,5,2,3,2,4,3,2,8.2,5,No,High,Tier 1,Yes,Low
160,Female,CSE,7.65,61.7,62.1,2,4.6,72.6,7,1,4,2,4,4,4,6.1,2,No,High,Tier 2,Yes,Low
161,Male,ME,5.77,50.2,56.9,1,3.5,67.9,8,0,5,1,3,3,4,5.4,10,No,Medium,Tier 2,Yes,None
162,Female,CSE,8.41,74.6,75.7,1,5.9,83.6,4,4,3,2,4,2,6,8.0,1,No,Medium,Tier 2,No,Medium
163,Female,ECE,8.4,75.2,76.3,0,4.3,71.5,4,3,3,3,4,2,0,6.5,1,No,Medium,Tier 2,Yes,High
164,Male,ECE,7.63,76.3,82.6,0,4.9,74.4,5,1,2,1,4,3,0,6.6,10,Yes,Medium,Tier 2,Yes,None
165,Male,CSE,9.01,82.8,77.7,0,4.0,78.0,4,2,3,4,5,3,2,6.2,5,No,High,Tier 1,Yes,Medium
166,Female,IT,7.23,66.2,68.1,0,0.8,65.7,4,1,3,5,4,4,2,6.4,9,No,Low,Tier 1,Yes,High
167,Male,CSE,8.65,75.1,83.2,0,6.6,83.3,8,3,5,5,4,4,4,8.7,6,No,Medium,Tier 1,Yes,High
168,Male,CSE,8.78,78.3,83.4,0,4.8,67.2,4,1,3,2,4,3,3,9.0,5,No,Medium,Tier 1,Yes,High
169,Male,CSE,7.68,69.8,68.8,0,1.3,70.3,3,2,2,5,3,2,4,9.0,6,No,Medium,Tier 2,Yes,High
170,Male,CE,9.93,88.6,87.3,0,3.1,76.6,8,3,5,4,5,5,3,8.3,7,Yes,Medium,Tier 3,Yes,Low
171,Female,ECE,7.6,69.2,69.5,0,5.1,80.3,5,2,3,5,4,4,1,7.6,9,No,Medium,Tier 1,No,High
172,Male,ME,9.17,84.6,87.3,0,7.0,84.4,4,3,2,1,5,1,4,5.3,10,No,Low,Tier 1,Yes,High
173,Male,CSE,8.36,79.8,79.4,0,4.6,76.0,8,2,5,2,4,6,7,6.8,6,Yes,Medium,Tier 3,Yes,Low
174,Male,CSE,8.75,83.4,76.2,0,5.5,84.1,7,3,5,3,5,4,3,9.0,4,No,Low,Tier 2,Yes,Low
175,Female,ECE,9.94,91.3,88.4,0,7.3,82.0,5,2,4,5,5,4,3,6.5,1,No,Low,Tier 3,Yes,Low
176,Male,IT,8.61,83.8,77.5,0,7.2,86.6,4,3,4,5,4,5,4,8.8,6,No,Low,Tier 3,Yes,Low
177,Female,IT,8.33,76.6,77.4,0,4.5,77.3,4,3,3,2,4,4,2,7.1,7,No,Medium,Tier 2,Yes,Low
178,Male,CSE,8.49,72.5,78.9,1,5.3,78.0,4,1,3,1,4,1,6,4.0,9,No,Medium,Tier 1,Yes,Medium
179,Female,ECE,7.75,61.7,68.6,0,2.0,71.3,2,1,1,2,4,0,2,7.8,1,No,Medium,Tier 2,Yes,Medium
180,Male,IT,8.9,87.0,86.2,0,3.9,72.3,8,1,5,3,5,5,6,8.5,6,No,Medium,Tier 1,Yes,Low
181,Male,ECE,9.47,82.4,82.5,0,4.8,79.1,7,3,5,2,5,6,0,6.9,8,No,Medium,Tier 1,No,None
182,Male,IT,7.6,73.0,74.5,1,3.2,73.7,8,3,5,2,3,3,4,8.5,3,No,Medium,Tier 1,Yes,Medium
183,Female,CSE,6.95,70.0,64.3,1,1.3,62.8,6,2,4,5,3,2,2,5.0,3,No,Medium,Tier 3,No,None
184,Female,IT,6.66,55.3,65.2,2,3.9,74.4,7,2,5,3,3,6,4,5.3,9,No,Medium,Tier 2,No,None
185,Male,CE,9.74,83.5,94.2,0,0.5,53.7,8,3,5,4,5,6,1,7.2,4,No,Medium,Tier 1,Yes,Medium
186,Female,IT,9.48,90.0,81.6,0,7.0,84.2,7,4,4,1,5,4,4,7.6,5,No,Medium,Tier 2,Yes,Low
187,Female,ME,7.33,68.1,60.9,0,3.9,58.9,3,3,1,2,4,1,2,8.6,2,No,High,Tier 2,Yes,None
188,Male,ECE,7.16,63.2,72.8,0,6.1,84.9,2,2,1,4,4,1,2,7.8,7,No,High,Tier 2,Yes,Low
189,Male,IT,8.79,80.6,87.4,1,2.2,59.4,8,3,5,5,4,3,5,5.6,3,No,Low,Tier 1,Yes,Medium
190,Male,CSE,10.0,93.7,91.8,0,3.0,67.9,8,3,5,3,4,5,6,7.3,4,No,Low,Tier 2,Yes,Medium
191,Male,ECE,8.4,79.9,75.7,0,5.2,81.7,4,3,2,3,4,0,4,7.7,8,No,Medium,Tier 3,Yes,Low
192,Female,CE,7.06,70.9,56.2,0,7.0,83.6,6,0,4,5,3,3,3,4.8,9,No,Medium,Tier 1,Yes,None
193,Female,CE,6.71,57.2,59.0,0,4.4,70.2,4,1,2,5,4,2,3,6.9,7,No,Low,Tier 1,Yes,Medium
194,Female,IT,7.62,74.6,66.2,1,2.3,65.1,3,2,2,1,4,2,3,6.6,8,Yes,High,Tier 1,Yes,High
195,Male,CSE,7.21,74.7,68.8,0,5.7,81.4,4,1,2,4,4,3,2,6.2,5,No,Low,Tier 1,Yes,Medium
196,Male,CE,7.61,71.2,70.6,0,1.9,61.6,3,2,2,2,4,0,4,7.6,10,No,High,Tier 2,Yes,High
197,Female,CE,9.19,90.4,91.4,1,6.6,80.6,6,4,4,5,5,6,4,5.6,6,Yes,Medium,Tier 3,Yes,Medium
198,Female,CSE,8.76,77.9,68.7,1,6.1,75.2,6,2,3,3,5,3,2,7.5,10,No,Medium,Tier 3,Yes,Medium
